id	product_id	track_number	name	composer	arranger	source_id	is_original
010319	0103	19	霊人の休日	ZUN			1
010320	0103	20	勝利デモ	ZUN			1
010321	0103	21	ゲームオーバー	ZUN			1
010322	0103	22	時の風	ZUN			1
010323	0103	23	スターボウドリーム	ZUN			1
010324	0103	24	Phantasmagoria	ZUN			1
010401	0104	1	幻想郷　～ Lotus Land Story	ZUN			1
010402	0104	2	Witching Dream	ZUN			1
010403	0104	3	Selene's light	ZUN			1
010404	0104	4	装飾戦　～ Decoration Battle	ZUN			1
010405	0104	5	Break the Sabbath	ZUN			1
010406	0104	6	紅響曲　～ Scarlet Phoneme	ZUN			1
010407	0104	7	Bad Apple!!	ZUN			1
010408	0104	8	霊戦　～ Perdition crisis	ZUN			1
010409	0104	9	アリスマエステラ	ZUN			1
010410	0104	10	少女綺想曲　～ Capriccio	ZUN			1
010411	0104	11	星の器　～ Casket of Star	ZUN			1
010412	0104	12	Lotus Love	ZUN			1
010413	0104	13	眠れる恐怖　～ Sleeping Terror	ZUN			1
010414	0104	14	Dream Land	ZUN			1
010415	0104	15	幽夢　～ Inanimate Dream	ZUN			1
010416	0104	16	禁じざるをえない遊戯	ZUN			1
010417	0104	17	メイド幻想　～ Icemilk Magic	ZUN			1
010418	0104	18	かわいい悪魔　～ Innocence	ZUN			1
010419	0104	19	Days	ZUN			1
010420	0104	20	Peaceful	ZUN			1
010421	0104	21	Arcadian Dream	ZUN			1
010422	0104	22	幻想の住人	ZUN			1
010423	0104	23	Lotus Road	ZUN			1
010424	0104	24	Dreamy pilot	ZUN			1
010425	0104	25	Incomplete Plot	ZUN			1
010426	0104	26	Border Land	ZUN			1
010427	0104	27	Magic Shop of Raspberry	ZUN			1
010428	0104	28	Crescent Dream	ZUN			1
010501	0105	1	怪綺談　～ Mystic Square	ZUN			1
010502	0105	2	Dream Express	ZUN			1
010503	0105	3	魔法陣　～ Magic Square	ZUN			1
010504	0105	4	夢想時空	ZUN			1
010505	0105	5	霊天　～ Spiritual Heaven	ZUN			1
010506	0105	6	Romantic Children	ZUN			1
010507	0105	7	プラスチックマインド	ZUN			1
010508	0105	8	メイプルワイズ	ZUN			1
010509	0105	9	禁断の魔法　～ Forbidden Magic	ZUN			1
010510	0105	10	真紅の少女　～ Crimson Dead!!	ZUN			1
010511	0105	11	裏切りの少女　～ Judas Kiss	ZUN			1
010512	0105	12	the Last Judgement	ZUN			1
010513	0105	13	悲しき人形　～ Doll of Misery	ZUN			1
010514	0105	14	世界の果て　～ World's End	ZUN			1
010515	0105	15	神話幻想　～ Infinite Being	ZUN			1
010516	0105	16	不思議の国のアリス	ZUN			1
010517	0105	17	the Grimoire of Alice	ZUN			1
010518	0105	18	神社	ZUN			1
010519	0105	19	Endless	ZUN			1
010520	0105	20	久遠の楽園	ZUN			1
010521	0105	21	Mystic Dream	ZUN			1
010522	0105	22	Peaceful Romancer	ZUN			1
010523	0105	23	魂の休らむ所	ZUN			1
020101	0201	1	赤より紅い夢	ZUN			1
020102	0201	2	ほおずきみたいに紅い魂	ZUN			1
020103	0201	3	妖魔夜行	ZUN			1
020104	0201	4	ルーネイトエルフ	ZUN			1
020105	0201	5	おてんば恋娘	ZUN			1
020106	0201	6	上海紅茶館　～ Chinese Tea	ZUN			1
020107	0201	7	明治十七年の上海アリス	ZUN			1
020108	0201	8	ヴワル魔法図書館	ZUN			1
020109	0201	9	ラクトガール　～ 少女密室	ZUN			1
020110	0201	10	メイドと血の懐中時計	ZUN			1
020111	0201	11	月時計　～ ルナ・ダイアル	ZUN			1
020112	0201	12	ツェペシュの幼き末裔	ZUN			1
020113	0201	13	亡き王女の為のセプテット	ZUN			1
020114	0201	14	魔法少女達の百年祭	ZUN			1
020115	0201	15	U.N.オーエンは彼女なのか？	ZUN			1
020116	0201	16	紅より儚い永遠	ZUN			1
020117	0201	17	紅楼　～ Eastern Dream...	ZUN			1
020201	0202	1	妖々夢　～ Snow or Cherry Petal	ZUN			1
020202	0202	2	無何有の郷　～ Deep Mountain	ZUN			1
020203	0202	3	クリスタライズシルバー	ZUN			1
020204	0202	4	遠野幻想物語	ZUN			1
020205	0202	5	ティアオイエツォン(withered leaf)	ZUN			1
020206	0202	6	ブクレシュティの人形師	ZUN			1
020207	0202	7	人形裁判　～ 人の形弄びし少女	ZUN			1
020208	0202	8	天空の花の都	ZUN			1
020209	0202	9	幽霊楽団　～ Phantom Ensemble	ZUN			1
020210	0202	10	東方妖々夢　～ Ancient Temple	ZUN			1
020211	0202	11	広有射怪鳥事　～ Till When?	ZUN			1
020212	0202	12	アルティメットトゥルース	ZUN			1
020213	0202	13	幽雅に咲かせ、墨染の桜　～ Border of Life	ZUN			1
020214	0202	14	ボーダーオブライフ	ZUN			1
020215	0202	15	妖々跋扈	ZUN			1
020216	0202	16	少女幻葬　～ Necro-Fantasy	ZUN			1
020217	0202	17	妖々跋扈　～ Who done it!	ZUN			1
020218	0202	18	ネクロファンタジア	ZUN			1
020219	0202	19	春風の夢	ZUN			1
020220	0202	20	さくらさくら　～ Japanize Dream...	ZUN			1
020221	0202	21	過去の花　～ Fairy of Flower	ZUN			1
020301	0203	1	萃夢想	U2			1
020302	0203	2	東方妖恋談	ZUN	NKZ	010303	0
020303	0203	3	少女綺想曲　～ Capriccio	ZUN	U2	010410	0
020304	0203	4	恋色マジック	ZUN	NKZ	010209	0
020305	0203	5	魔女達の舞踏会　～ Magus	ZUN	U2		1
020306	0203	6	メイドと血の懐中時計	ZUN	NKZ	020110	0
020307	0203	7	月時計　～ ルナ・ダイアル	ZUN	U2	020111	0
020308	0203	8	ブクレシュティの人形師	ZUN	NKZ	020206	0
020309	0203	9	人形裁判	ZUN	U2	020207	0
020310	0203	10	ラクトガール　～ 少女密室	ZUN	NKZ	020109	0
020311	0203	11	ヴワル魔法図書館	ZUN	U2	020108	0
020312	0203	12	広有射怪鳥事　～ Till When？	ZUN	NKZ	020211	0
020313	0203	13	東方妖々夢　～ Ancient Temple	ZUN	U2	020210	0
020314	0203	14	亡き王女の為のセプテット	ZUN	NKZ	020113	0
020315	0203	15	幽雅に咲かせ、墨染の桜　～ Border of Life	ZUN	NKZ	020213	0
020316	0203	16	Demystify Feast	ZUN			1
020317	0203	17	夜が降りてくる　～ Evening Star	ZUN			1
020318	0203	18	御伽の国の鬼が島　～ Missing Power	ZUN			1
020319	0203	19	夏明き	NKZ			1
020320	0203	20	東方萃夢想	U2			1
020321	0203	21	魔所	NKZ			1
020322	0203	22	月輪	NKZ			1
020323	0203	23	遍参	NKZ			1
020324	0203	24	裏心	NKZ			1
020325	0203	25	Intermezzo	NKZ			1
020326	0203	26	あゆのかぜ	NKZ			1
020327	0203	27	森閑	U2			1
020328	0203	28	仰空	U2			1
020329	0203	29	幽境	U2			1
